Query_number,doc_number
1,129018
1,352504
1,368279
1,131110
1,279717
1,37773
1,348831
1,195406
1,459158
1,148953
2,12807
2,195084
2,389103
2,406264
2,231539
2,173366
2,183715
2,20646
2,307018
2,249151
3,412243
3,5024
3,389228
3,22348
3,74214
3,446120
3,225163
3,240492
3,155797
3,10793
4,90548
4,215320
4,286212
4,446384
4,133122
4,169797
4,394572
4,400411
4,422050
4,217008
5,122303
5,11766
5,44508
5,350810
5,481987
5,470526
5,258900
5,429555
5,295851
5,319411
6,77104
6,389393
6,82131
6,248947
6,85102
6,342088
6,304843
6,294577
6,134634
6,324127
7,444818
7,116743
7,422407
7,29840
7,339379
7,453178
7,108290
7,94756
7,117751
7,248778
8,415854
8,102418
8,109001
8,14705
8,401711
8,323435
8,334887
8,403438
8,362404
8,405492
9,95059
9,102770
9,325779
9,382221
9,357689
9,62523
9,255713
9,359521
9,99688
9,108018
10,89072
10,67533
10,297761
10,205076
10,294810
10,169545
10,298045
10,212446
10,394283
10,242805
11,17238
11,427902
11,431779
11,227359
11,68442
11,275918
11,129727
11,49893
11,445355
11,209639
12,3976
12,267626
12,463487
12,76945
12,356463
12,307363
12,53469
12,374216
12,240611
12,138501
13,164486
13,79603
13,184607
13,490185
13,481938
13,163563
13,429187
13,148453
13,54200
13,5647
14,482219
14,426510
14,98162
14,99851
14,448411
14,212878
14,463695
14,382421
14,27765
14,1525
15,14387
15,346231
15,442250
15,53396
15,449456
15,107973
15,184067
15,284662
15,206700
15,90609
16,310790
16,72839
16,155123
16,163203
16,385314
16,183056
16,262187
16,407968
16,196902
16,72268
17,419231
17,429186
17,107586
17,80311
17,490318
17,488744
17,76700
17,266241
17,46101
17,94406
18,426872
18,179059
18,19726
18,96953
18,350565
18,297309
18,314322
18,273288
18,101999
18,24757
19,50831
19,5887
19,342368
19,128749
19,7174
19,414885
19,451744
19,61963
19,222409
19,277203
20,446893
20,439506
20,89450
20,197720
20,347649
20,116027
20,434669
20,362713
20,441672
20,69346
21,389777
21,229100
21,250951
21,438632
21,325730
21,218008
21,73600
21,52407
21,49082
21,127566
22,26765
22,278511
22,113758
22,132077
22,139205
22,206809
22,33323
22,257469
22,276065
22,163465
23,92263
23,54983
23,163112
23,140701
23,39061
23,332471
23,178352
23,121616
23,53498
23,64203
24,281834
24,451729
24,156761
24,320100
24,345546
24,238510
24,164835
24,306077
24,15626
24,235188
25,420248
25,150286
25,10519
25,245817
25,100578
25,381308
25,307676
25,57632
25,47829
25,40784
26,88548
26,94651
26,314902
26,486604
26,488280
26,292416
26,275991
26,157697
26,334314
26,143811
27,437129
27,290689
27,287631
27,200193
27,8287
27,219169
27,193248
27,355134
27,36626
27,498510
28,199690
28,67638
28,292675
28,484493
28,328501
28,204911
28,412889
28,411212
28,266251
28,353780
29,134929
29,215162
29,177542
29,448073
29,174789
29,229075
29,108222
29,176132
29,83069
29,157207
30,471094
30,131235
30,398536
30,329742
30,343204
30,190429
30,456355
30,187886
30,454907
30,224425
31,323226
31,320692
31,418970
31,65801
31,108694
31,18403
31,161077
31,459798
31,4733
31,138925
32,6336
32,123573
32,343798
32,323197
32,276378
32,389437
32,139660
32,17911
32,268166
32,66991
33,180557
33,252089
33,438234
33,98789
33,110010
33,199273
33,348784
33,367
33,441478
33,433703
34,97141
34,118580
34,356151
34,240685
34,395012
34,229155
34,77252
34,84047
34,21195
34,432980
35,484498
35,122496
35,164296
35,388582
35,63958
35,402288
35,375569
35,277595
35,121514
35,230944
36,394974
36,268490
